AU01_r	AU02_r	AU04_r	AU05_r	AU06_r	AU07_r	AU09_r	AU10_r	AU12_r	AU14_r	AU15_r	AU17_r	AU20_r	AU23_r	AU25_r	AU26_r	AU45_r	AU01_c	AU02_c	AU04_c	AU05_c	AU06_c	AU07_c	AU09_c	AU10_c	AU12_c	AU14_c	AU15_c	AU17_c	AU20_c	AU23_c	AU25_c	AU26_c	AU28_c	AU45_c
0.19	0.28	3.63	0.5	1.97	3.49	0.0	2.6	0.98	1.62	0.0	0.91	0.07	0.87	0.0	0.0	1.3	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
0.19	0.39	3.46	0.29	2.05	3.21	0.04	2.71	1.11	1.67	0.0	0.85	0.02	0.76	0.15	0.0	0.89	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.18	0.35	3.37	0.12	2.14	3.09	0.07	3.0	1.24	1.64	0.0	0.81	0.0	0.61	0.38	0.0	0.76	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.22	0.42	3.38	0.08	2.25	3.14	0.08	3.31	1.37	1.62	0.0	0.74	0.0	0.55	0.62	0.0	0.68	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.26	0.25	3.42	0.1	2.38	3.21	0.04	3.38	1.42	1.59	0.0	0.73	0.0	0.58	0.78	0.0	0.49	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.33	0.42	3.49	0.12	2.36	3.13	0.01	3.32	1.39	1.56	0.0	0.71	0.0	0.66	0.83	0.0	0.18	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.35	0.35	3.49	0.07	2.29	3.11	0.0	3.33	1.31	1.5	0.0	0.61	0.0	0.66	0.9	0.0	0.1	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.33	0.48	3.51	0.09	2.14	3.2	0.02	3.31	1.25	1.4	0.0	0.52	0.02	0.54	0.89	0.0	0.07	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.35	0.26	3.43	0.06	2.05	3.39	0.02	3.4	1.26	1.44	0.0	0.42	0.02	0.4	0.89	0.0	0.18	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.32	0.16	3.49	0.04	1.96	3.64	0.02	3.44	1.26	1.52	0.0	0.39	0.02	0.24	0.82	0.0	0.11	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
